"ID","ClassName","Label","InputType","Required","MinLength","PlaceHolder","QuestionID","SortOrder","IsProductOwner","IsBusinessOwner","IsProductName","IsBusinessOwnerName","MultiChoiceSingleAnswerDefault","MultiChoiceAnswerValue","MultiChoiceMultipleAnswerDefaultValue","MaxLength","MultiChoiceMultipleAnswerDefault"
97,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",152,0,0,0,0,0,"","","",0,""
98,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",153,0,0,0,0,0,"","","",0,""
99,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",154,0,0,0,0,0,"","","",0,""
100,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",155,0,0,0,0,0,"","","",0,""
101,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",156,0,0,0,0,0,"","","",0,""
102,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",157,0,0,0,0,0,"","","",0,""
103,"NZTA\SDLT\Model\AnswerInputField","Responses","textarea",1,2,"",158,0,0,0,0,0,"","","",0,""
104,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",159,0,0,0,0,0,"","","",0,""
105,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,2,"",160,0,0,0,0,0,"","","",0,""
106,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",168,0,0,0,0,0,"","","",0,""
107,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",171,0,0,0,0,0,"","","",0,""
108,"NZTA\SDLT\Model\AnswerInputField","Information","textarea",0,0,"",176,0,0,0,0,0,"","","",0,""
109,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,20,"",179,0,0,0,0,0,"","","",0,""
110,"NZTA\SDLT\Model\AnswerInputField","Information","textarea",0,0,"",181,0,0,0,0,0,"","","",0,""
111,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,8,"",183,0,0,0,0,0,"","","",0,""
112,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",184,0,0,0,0,0,"","","",0,""
113,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,6,"",185,0,0,0,0,0,"","","",0,""
114,"NZTA\SDLT\Model\AnswerInputField","Classification","text",1,0,"",187,0,0,0,0,0,"","","",0,""
115,"NZTA\SDLT\Model\AnswerInputField","Information","textarea",0,0,"",190,0,0,0,0,0,"","","",0,""
116,"NZTA\SDLT\Model\AnswerInputField","Product Name","text",1,0,"",191,0,0,0,1,0,"","","",0,""
117,"NZTA\SDLT\Model\AnswerInputField","Project/Product Manager","text",1,0,"",191,0,0,0,0,0,"","","",0,""
118,"NZTA\SDLT\Model\AnswerInputField","Link","url",0,0,"",0,0,0,0,0,0,"","","",0,""
119,"NZTA\SDLT\Model\AnswerInputField","Classification","text",1,0,"",197,0,0,0,0,0,"","","",0,""
120,"NZTA\SDLT\Model\AnswerInputField","Locations","textarea",1,0,"",49,0,0,0,0,0,"","","",0,""
121,"NZTA\SDLT\Model\AnswerInputField","Users","textarea",1,0,"",202,0,0,0,0,0,"","","",0,""
122,"NZTA\SDLT\Model\AnswerInputField","Company Information","textarea",1,0,"",227,0,0,0,0,0,"","","",0,""
123,"NZTA\SDLT\Model\AnswerInputField","Access","textarea",1,0,"",228,0,0,0,0,0,"","","",0,""
124,"NZTA\SDLT\Model\AnswerInputField","Process","textarea",1,0,"",232,0,0,0,0,0,"","","",0,""
125,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,6,"",237,0,0,0,0,0,"","","",0,""
126,"NZTA\SDLT\Model\AnswerInputField","Name","text",1,0,"Full Name",239,0,0,0,0,0,"","","",0,""
127,"NZTA\SDLT\Model\AnswerInputField","Role","text",1,0,"Person's Role",239,0,0,0,0,0,"","","",0,""
128,"NZTA\SDLT\Model\AnswerInputField","Email","email",1,0,"person@your_organisation.com",239,0,0,0,0,0,"","","",0,""
129,"NZTA\SDLT\Model\AnswerInputField","Phone DDI","text",0,0,"+64 0 000 0000",239,0,0,0,0,0,"","","",0,""
130,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",288,0,0,0,0,0,"","","",0,""
131,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",290,0,0,0,0,0,"","","",0,""
132,"NZTA\SDLT\Model\AnswerInputField","Process","textarea",1,0,"",291,0,0,0,0,0,"","","",0,""
133,"NZTA\SDLT\Model\AnswerInputField","Method","textarea",0,0,"",304,0,0,0,0,0,"","","",0,""
134,"NZTA\SDLT\Model\AnswerInputField","Frequency","text",0,0,"",306,0,0,0,0,0,"","","",0,""
135,"NZTA\SDLT\Model\AnswerInputField","City","text",1,0,"",103,0,0,0,0,0,"","","",0,""
136,"NZTA\SDLT\Model\AnswerInputField","Country","text",1,0,"",103,0,0,0,0,0,"","","",0,""
137,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,6,"",325,0,0,0,0,0,"","","",0,""
138,"NZTA\SDLT\Model\AnswerInputField","Name","text",1,0,"",333,0,0,0,0,0,"","","",0,""
139,"NZTA\SDLT\Model\AnswerInputField","Role","text",1,0,"",333,0,0,0,0,0,"","","",0,""
140,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",334,0,0,0,0,0,"","","",0,""
141,"NZTA\SDLT\Model\AnswerInputField","Classification","text",1,0,"",335,0,0,0,0,0,"","","",0,""
142,"NZTA\SDLT\Model\AnswerInputField","Users","textarea",1,0,"",338,0,0,0,0,0,"","","",0,""
143,"NZTA\SDLT\Model\AnswerInputField","Permissions","textarea",1,0,"",339,0,0,0,0,0,"","","",0,""
144,"NZTA\SDLT\Model\AnswerInputField","Legislations","textarea",1,0,"",340,0,0,0,0,0,"","","",0,""
145,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",341,0,0,0,0,0,"","","",0,""
146,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",342,0,0,0,0,0,"","","",0,""
147,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",343,0,0,0,0,0,"","","",0,""
148,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",345,0,0,0,0,0,"","","",0,""
149,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",346,0,0,0,0,0,"","","",0,""
150,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",347,0,0,0,0,0,"","","",0,""
151,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",348,0,0,0,0,0,"","","",0,""
152,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",355,0,0,0,0,0,"","","",0,""
153,"NZTA\SDLT\Model\AnswerInputField","Description","textarea",1,0,"",377,0,0,0,0,0,"","","",0,""
154,"NZTA\SDLT\Model\AnswerInputField","URL","url",0,0,"",396,0,0,0,0,0,"","","",0,""
155,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",399,0,0,0,0,0,"","","",0,""
156,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",407,0,0,0,0,0,"","","",0,""
157,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",409,0,0,0,0,0,"","","",0,""
158,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",415,0,0,0,0,0,"","","",0,""
159,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",416,0,0,0,0,0,"","","",0,""
160,"NZTA\SDLT\Model\AnswerInputField","Date","date",1,0,"",417,0,0,0,0,0,"","","",0,""
161,"NZTA\SDLT\Model\AnswerInputField","Date","date",1,0,"",418,0,0,0,0,0,"","","",0,""
162,"NZTA\SDLT\Model\AnswerInputField","Date","date",1,0,"",419,0,0,0,0,0,"","","",0,""
163,"NZTA\SDLT\Model\AnswerInputField","URL","url",1,0,"",427,0,0,0,0,0,"","","",0,""
164,"NZTA\SDLT\Model\AnswerInputField","Project Name","text",1,0,"",439,0,0,0,1,0,"","","",4096,""
165,"NZTA\SDLT\Model\AnswerInputField","Business Owner","text",1,0,"",439,0,0,0,0,0,"","","",4096,""
166,"NZTA\SDLT\Model\AnswerInputField","Business Owner Email","email",0,0,"",439,0,0,1,0,0,"","","",4096,""
167,"NZTA\SDLT\Model\AnswerInputField","Risk","multiple-choice: single selection",1,0,"",440,0,0,0,0,0,"","","",4096,""
168,"NZTA\SDLT\Model\AnswerInputField","System","multiple-choice: multiple selection",1,0,"",442,0,0,0,0,0,"","","",4096,""
169,"NZTA\SDLT\Model\AnswerInputField","Data Type","multiple-choice: multiple selection",1,0,"",444,0,0,0,0,0,"","","",4096,""
170,"NZTA\SDLT\Model\AnswerInputField","Data Type","multiple-choice: multiple selection",1,0,"",446,0,0,0,0,0,"","","",4096,""
171,"NZTA\SDLT\Model\AnswerInputField","Data Type","multiple-choice: multiple selection",1,0,"",445,0,0,0,0,0,"","","",4096,""
172,"NZTA\SDLT\Model\AnswerInputField","System","multiple-choice: multiple selection",1,0,"",447,0,0,0,0,0,"","","",4096,""
173,"NZTA\SDLT\Model\AnswerInputField","Links","textarea",1,0,"",454,0,0,0,0,0,"","","",4096,""
174,"NZTA\SDLT\Model\AnswerInputField","Final Rating","text",1,0,"",456,0,0,0,0,0,"","","",4096,""
175,"NZTA\SDLT\Model\AnswerInputField","Date of Rating","date",1,0,"",456,0,0,0,0,0,"","","",4096,""
176,"NZTA\SDLT\Model\AnswerInputField","Final Rating","text",1,0,"",457,0,0,0,0,0,"","","",4096,""
177,"NZTA\SDLT\Model\AnswerInputField","Date of Rating","date",1,0,"",457,0,0,0,0,0,"","","",4096,""
178,"NZTA\SDLT\Model\AnswerInputField","URL","url",1,0,"",459,0,0,0,0,0,"","","",4096,""
179,"NZTA\SDLT\Model\AnswerInputField","Give a description and overview of the project, solution or system","textarea",0,0,"Please provide a short description of your Project, Solution or System and what the changes will be.",460,0,0,0,0,0,"","","",4096,""
180,"NZTA\SDLT\Model\AnswerInputField","Please describe how the customer experience may be impacted?","textarea",0,0,"What impact will these changes have, and what will the impacts be on customers? How will the changes make it easier for our customers to work with/across the agency?",461,0,0,0,0,0,"","","",4096,""
181,"NZTA\SDLT\Model\AnswerInputField","How easily can customers find, access and use the data or information?","textarea",0,0,"How easy will it be for customers to use the data/information? How will they find it? What access will they require?",461,0,0,0,0,0,"","","",4096,""
182,"NZTA\SDLT\Model\AnswerInputField","What information training does the business team need, to support these changes?","textarea",0,0,"Was provision made for training? Training manuals or sessions? How will you ensure users will understand how to use the data/information?",461,0,0,0,0,0,"","","",4096,""
183,"NZTA\SDLT\Model\AnswerInputField","What are the BAU resource considerations?","textarea",0,0,"As part of transition to BAU, what are the resource considerations for the Information and data teams?",461,0,0,0,0,0,"","","",4096,""
184,"NZTA\SDLT\Model\AnswerInputField","Who is the Custodian?","textarea",1,0,"Responsible for the overall value and governance of the asset, including: funding, legal requirements, policy and business rules. This role is typically at a senior executive level.",462,0,0,0,0,0,"","","",4096,""
185,"NZTA\SDLT\Model\AnswerInputField","Who is the Business Owner?","textarea",1,0,"Responsible for the day to day decisions regarding the business management, use and outcomes of the asset. Usually has a reporting line to the Custodian.",462,0,0,0,0,0,"","","",4096,""
186,"NZTA\SDLT\Model\AnswerInputField","Who are the Steward(s)?","textarea",1,0,"The subject matter experts who work closely with the asset; they are responsible for its collection, operation and maintenance. Usually has a reporting line to the Business Owner.",462,0,0,0,0,0,"","","",4096,""
187,"NZTA\SDLT\Model\AnswerInputField","Who is the Curator?","textarea",1,0,"The technical administrators responsible for the architecture, design, maintenance and operation of an asset’s technology components. This role also includes the person in Agency managing vendor relationships.",462,0,0,0,0,0,"","","",4096,""
188,"NZTA\SDLT\Model\AnswerInputField","Who is the Vendor?","textarea",0,0,"Please provide the name of the Vendor, if one was used.",462,0,0,0,0,0,"","","",4096,""
189,"NZTA\SDLT\Model\AnswerInputField","Please provide details, of restrictions (if any) relating to the use of external information/data.","textarea",0,0,"Provide restrictions on how Waka Kotahi is allowed to use and share the external information/data.",464,0,0,0,0,0,"","","",4096,""
190,"NZTA\SDLT\Model\AnswerInputField","Please provide the link to the data-sharing agreement, if one exist.","textarea",0,0,"A data-sharing agreement is a formal contract that clearly documents what information/data are being shared and how it can be used.",464,0,0,0,0,0,"","","",4096,""
191,"NZTA\SDLT\Model\AnswerInputField","Specify the sources from which the solution obtain data?","textarea",0,0,"Solution capture data direct from users OR/AND Solution gets data from another system/solution (name of system/solution)",465,0,0,0,0,0,"","","",4096,""
192,"NZTA\SDLT\Model\AnswerInputField","What data is the solution collecting? ","textarea",0,0,"Columns or Fields, Tables or Entities from other solutions",465,0,0,0,0,0,"","","",4096,""
193,"NZTA\SDLT\Model\AnswerInputField","How will the data be used?","textarea",0,0,"Why are you collecting this data? For which purposes will you use this data?",465,0,0,0,0,0,"","","",4096,""
194,"NZTA\SDLT\Model\AnswerInputField","Will the data be shared with external parties?","multiple-choice: single selection",0,0,"Will the data be shared with external people or organisations?",465,0,0,0,0,0,"No","","",4096,""
195,"NZTA\SDLT\Model\AnswerInputField","Is Agency legally allowed to use the data for the purposes you are intending? ","multiple-choice: single selection",0,0,"",465,0,0,0,0,0,"No - Working on obtaining permission","","",4096,""
196,"NZTA\SDLT\Model\AnswerInputField","Provide links to supporting documentation","url",0,0,"If there is any supporting documentation please add the links here: i.e. data models, design documents.",465,0,0,0,0,0,"","","",4096,""
197,"NZTA\SDLT\Model\AnswerInputField","What are the requirements around the confidentiality, integrity, and availability of the information/data? ","textarea",0,0,"Provide the document link if the requirements have been captured in other documents.",466,0,0,0,0,0,"","","",4096,""
198,"NZTA\SDLT\Model\AnswerInputField","How critical is this information/data to Waka Kotahi's ability to perform it's operations?","textarea",0,0,"What will the impact be to Waka Kotahi and our customers if this data is lost, corrupted or unavailable? Which functions will Waka Kotahi not be able to perform if this data is not available? How long can Waka Kotahi operate without the data?",466,0,0,0,0,0,"","","",4096,""
199,"NZTA\SDLT\Model\AnswerInputField","Have any quality issues been captured or updated in the Data or Information Asset Register?","multiple-choice: single selection",0,0,"",466,0,0,0,0,0,"No","","",4096,""
200,"NZTA\SDLT\Model\AnswerInputField","What are the retention and disposal requirements for the information/data? ","textarea",0,0,"Does the solution meet Agency's requirements as per the Agency Retention and Disposal Schedule. Does the solution ensure that Agency meet all legal requirements regarding the retention and disposal of data.",467,0,0,0,0,0,"","","",4096,""
201,"NZTA\SDLT\Model\AnswerInputField","Has information/data disposal been included into the system design?","multiple-choice: single selection",0,0,"",467,0,0,0,0,0,"No","","",4096,""
202,"NZTA\SDLT\Model\AnswerInputField","What is the solution's disaster recovery and backup plan?","textarea",0,0,"What precautions are there to restore data in the event data is lost. Disaster recovery plan and/or Data backup processes.",467,0,0,0,0,0,"","","",4096,""
203,"NZTA\SDLT\Model\AnswerInputField","Please provide links to supporting documentation","textarea",0,0,"Provide that names and links to the supporting documents",469,0,0,0,0,0,"","","",4096,""
204,"NZTA\SDLT\Model\AnswerInputField","Any other information which should be taken into account while reviewing this IDMA","textarea",0,0,"Any other information which was not covered by the questionnaire, but  should be taken into account while reviewing this IDMA",469,0,0,0,0,0,"","","",4096,""
205,"NZTA\SDLT\Model\AnswerInputField","Fields","multiple-choice: multiple selection",1,0,"",472,0,0,0,0,0,"","","",0,""
206,"NZTA\SDLT\Model\AnswerInputField","Systems","multiple-choice: multiple selection",1,0,"",473,0,0,0,0,0,"","","",0,""
207,"NZTA\SDLT\Model\AnswerInputField","Fields","multiple-choice: multiple selection",1,0,"",477,0,0,0,0,0,"","","",0,""
208,"NZTA\SDLT\Model\AnswerInputField","Systems","multiple-choice: multiple selection",1,0,"",478,0,0,0,0,0,"","","",0,""
209,"NZTA\SDLT\Model\AnswerInputField","Notes","textarea",1,10,"",480,0,0,0,0,0,"","","",4096,""
210,"NZTA\SDLT\Model\AnswerInputField","Name","text",0,0,"",482,0,0,0,0,0,"","","",4096,""
211,"NZTA\SDLT\Model\AnswerInputField","Countries","textarea",1,0,"",483,0,0,0,0,0,"","","",4096,""
212,"NZTA\SDLT\Model\AnswerInputField","Countries","textarea",1,0,"",484,0,0,0,0,0,"","","",4096,""
213,"NZTA\SDLT\Model\AnswerInputField","List","textarea",0,0,"Organisation - Country",485,0,0,0,0,0,"","","",4096,""
214,"NZTA\SDLT\Model\AnswerInputField","Link","url",1,0,"",486,0,0,0,0,0,"","","",4096,""
215,"NZTA\SDLT\Model\AnswerInputField","Response","textarea",1,0,"",487,0,0,0,0,0,"","","",4096,""
