"ID","ClassName","Label","Value","AnswerInputFieldID"
86,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","FLIR","FLIR",206
87,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Luxriot","Luxriot",206
88,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","DYNAC ATMS","DYNAC ATMS",206
89,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","SCATS","SCATS",206
90,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","DXAtlus","DXAtlus",206
91,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Tunnel SCADA Systems","Tunnel SCADA Systems",206
92,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Sidera","Sidera",206
93,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","InfoHub","InfoHub",206
94,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","First Name","First Name",207
95,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Last Name","Last Name",207
96,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Date of Birth","Date of Birth",207
97,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Address","Address",207
98,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Phone Number","Phone Number",207
99,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Email","Email",207
100,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Medical Information","Medical Information",207
101,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Driver Licence Photo","Driver Licence Photo",207
102,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Driver Licence Information","Driver Licence Information",207
103,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Accident/Death Information","Accident/Death Information",207
104,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Fines Information","Fines Information",207
105,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Photo of person","Photo of person",207
106,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Credit Card Payment URL","Credit Card Payment URL",207
107,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Vehicle Information (Plate, Weight, Permits etc)","Vehicle Information (Plate, Weight, Permits etc)",207
108,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Traffic Camera or CCTV Footage","Traffic Camera or CCTV Footage",207
109,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Staff Payroll","Staff Payroll",207
110,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Chris21","Chris21",208
111,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Common Data Interface (CDI)","Common Data Interface (CDI)",208
112,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Common Payments System (CPS)","Common Payments System (CPS)",208
113,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","CrashHub / Crash Analytics System (CAS)","CrashHub / Crash Analytics System (CAS)",208
114,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Driver Licence Register (DLR)","Driver Licence Register (DLR)",208
115,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Landata","Landata",208
116,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Motor Vehicle Register (MVR)","Motor Vehicle Register (MVR)",208
117,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Operator Rating System (ORS)","Operator Rating System (ORS)",208
118,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","SAP","SAP",208
119,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Tolling","Tolling",208
120,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Transact","Transact",208
121,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Transport Investment Online (TIO NLTP)","Transport Investment Online (TIO NLTP)",208
122,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","DVTEL","DVTEL",208
123,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Vidsys","Vidsys",208
124,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","TRAFICON FLUX","TRAFICON FLUX",208
125,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","FLIR","FLIR",208
126,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Luxriot","Luxriot",208
127,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","DYNAC ATMS","DYNAC ATMS",208
128,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","SCATS","SCATS",208
129,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","DXAtlus","DXAtlus",208
130,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Tunnel SCADA Systems","Tunnel SCADA Systems",208
131,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Sidera","Sidera",208
132,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","InfoHub","InfoHub",208
133,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Other / Not Listed","Other / Not Listed",208
134,"NZTA\SDLT\Model\MultiChoiceAnswerSelection","Other / None","Other / None",207
