"ID","ClassName","LastEdited","Created","Title","Question","Description","AnswerFieldType","QuestionnaireID","SortOrder","TaskID"
41,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 13:12:42","Personal Information","Will this SaaS product store personal information (PI)?","<p>Personal Information is defined as any information about an identifiable individual (i.e. a living, natural person; not companies/charities/trusts etc). The information doesn’t need to identify a person by their name to be personal information, and it also doesn’t need to be private or sensitive. As long as there’s a reasonable chance that someone could be identified from the information - even if it’s only one person that makes the link between the information and the individual, and even if it’s only by linking it with other information - then it’s personal information. This includes information about other staff members and our customers.</p><p>All SaaS products used by the Agency that contain or use any form of Personal Information must go through a Privacy Threshold Assessment process. At the end of this questionnaire, a Privacy Threshold Assessment task will be completed. When completed, this task will be submitted to the Privacy Officers for review and approval.</p><p>For more information, and specific examples, please see the Privacy Page on OnRamp: https://onramp.example.co.nz/what-we-do/legal-services/privacy/</p>","action",0,16,0
42,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:38:12","Credit Card Payments","Does this deliverable add or modify credit card processing?","<p>Select yes if this deliverable modifies any component that handles credit card processing.</p><p>The Transport Agency is required by VISA and our Bank to maintain compliance with the Payment Card Industry - Data Security Standards (PCI-DSS). Vendors that accept credit cards on behalf of the Transport Agency will need to provide evidence of PCI-DSS compliance that can be forwarded to our bank. If this product is going to accept credit card payments, at the end of this questionnaire a PCI-DSS assessment task will be created. This task will ask you to go through each of the PCI-DSS requirements and ensure they're being met within this solution.</p>","action",4,15,0
43,"NZTA\SDLT\Model\Question","2019-03-14 13:40:56","2019-03-14 13:38:57","Endanger A Person","Could the public release of information used by this solution endanger the safety of any persons?","I.e. The release/disclosure could cause a person(s) physical harm or death","action",3,0,0
44,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:39:16","Credit Card Connection","Will this deliverable talk to the Agency Common Payment Services (CPS) system or impact it's security?","<p>Does this product deal with credit card payments in any way? or talk to Transport Agency systems that do? This includes the Payment Micro-site and Common Payment Services (CPS).</p><p>The Transport Agency is required by VISA and our Bank to maintain compliance with the Payment Card Industry - Data Security Standards (PCI-DSS). These products sit within the Transport Agencies PCI-DSS environment. Any changes to this environment will require validation against the current PCI-DSS requirements to ensure no compliance obligations are being compromised. At the end of this questionnaire a PCI-DSS assessment task will be created. This task will ask you to go through each of the PCI-DSS requirements and ensure they're being met within this product integration.</p>","action",4,16,0
45,"NZTA\SDLT\Model\Question","2019-04-26 10:03:00","2019-03-14 13:40:40","Need Data Feeds","Will this new data being transferred to a new external location for storage?","Is this a location your product has not used previously to store information?","action",0,16,0
46,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:41:42","External Data","Will this new data being transferred to a new external location?","<p>Will the product be transferring data to a <strong>new</strong> external location?</p><p>An external location is defined as somewhere that is physically different to where the product is hosted. If you're exporting data for a backup to a difference cloud location/region/zone or a different data centre then please click 'Yes'. If this external location has been previously used by this product for data storage, please click 'No'.</p><p>&nbsp;</p><p>&nbsp;</p>","action",4,11,0
47,"NZTA\SDLT\Model\Question","2019-03-14 13:42:09","2019-03-14 13:42:09","Information Classification","Do you know the Information Classification and is it Sensitive?","Click yes if you answer yes to both, otherwise click No","action",3,0,0
48,"NZTA\SDLT\Model\Question","2019-04-26 09:56:32","2019-03-14 13:42:27","Transferring Data","Where will this new data be physically located/stored?","What countries and cities will this data be held in by this product?","input",0,18,0
49,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:43:14","Data Storage Location","Where will Transport Agency data be physically located/stored?","<p>What countries and cities will Transport Agency data be held in by this product?</p><p>The Transport Agency must adhere to guidance from the Department of Internal Affairs (DIA). This determines what countries are acceptable for storing information the Transport Agency is accountable. In general, the Transport Agency is allowed to story information in:</p><ul><li>New Zealand</li>
<li>Australia</li>
<li>United States of America</li>
<li>Canada</li>
<li>Germany</li>
<li>Netherlands</li>
<li>United Kingdom</li>
</ul><p>Other countries/jurisdictions can be considered, but these will need to go through a separate data risk assessment to ensure the target jurisdiction's Information and Privacy laws are compatible with New Zealand's.</p>","input",4,12,0
50,"NZTA\SDLT\Model\Question","2019-03-14 13:46:15","2019-03-14 13:46:15","Payments","Will this solution accept financial payments in any form?","This includes credit cards, bank transfers, direct debits etc","action",3,0,0
51,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:46:24","Public Facing Interfaces","Does this deliverable expose new public facing interfaces?","<p>Will this solution be exposing new web-facing services? Including APIs through an existing API management platform (e.g. Mulesoft, CDI, CloudFlare, RedShield). The Transport Agency has an obligation to ensure that all information under it's jurisdiction is kept safe, especially when that information is being provided to external parties through web-facing services.</p><p>If you are moving an existing service from one location to another and this does have public facing services (website or API) then the answer to this is 'Yes'.</p><p>&nbsp;</p><p>If you answer 'Yes', two tasks will be created at the end of this questionnaire.</p><p>A Penetration Test task will be created. You'll be asked to either conduct a penetration test on the services or provide a recently completed penetration test report and summary of remediation work that has been undertaken. More information about this is explained in the Penetration Test task.</p><p>A Web Security Configuration task will be created. You'll be asked to test your web facing services against some industry best practices to ensure it's secure. This task will take approximately 10 minutes complete.</p><p>&nbsp;</p>","action",4,14,0
52,"NZTA\SDLT\Model\Question","2020-03-11 09:15:57","2019-03-14 13:47:11","New Components","Does this deliverable use new technological components?","This means new components (e.g. Apigee, S3, GCP Buckets etc) not used in this product before","action",0,19,0
53,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:50:10","Firewall Changes","Will this deliverable require firewall changes?","If this deliverable requires connections from Transport Agency systems that are not Web (e.g. chrome/firefox) the answer is probably Yes","action",4,19,0
54,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:50:49","Firewall Information","Please describe what firewall changes you might need","This doesn't have to be technically accurate, but an indication of what systems need to talk and how would be a good start for Infrastructure","input",4,20,0
55,"NZTA\SDLT\Model\Question","2019-03-14 13:51:38","2019-03-14 13:51:38","MVR/DLR Access","Does this solution interact with MVR or DLR?","The solution either reads or writes data to/from MVR or DLR","action",3,0,0
56,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 13:52:11","Other Risks","Is there any other information that should be provided that modifies the risk of the product because of this deliverable?","Provide any further information that may impact the security/risk of this product with this deliverable.","input",4,22,0
57,"NZTA\SDLT\Model\Question","2019-03-14 14:04:38","2019-03-14 14:04:38","Personally Identifiable Information","Will this solution store, retrieve or transmit personally identifiable information (PII)?","PII includes names, addresses, email address, phone number and DOB","action",3,0,0
58,"NZTA\SDLT\Model\Question","2019-03-14 14:07:42","2019-03-14 14:07:42","Active Director or OKTA","Does this solution use an authentication platform that is NOT Active Directory or Okta?","This includes any third-party systems we need to integrate with to authenticate users","action",3,0,0
59,"NZTA\SDLT\Model\Question","2019-05-13 08:24:51","2019-03-14 14:14:13","Business Owner","Please enter details of the business owner for this product","The business owner is the person who can formally accept risk to the data used in this product. This is a business line manager, not security.","input",5,2,0
60,"NZTA\SDLT\Model\Question","2019-06-10 11:34:17","2019-03-14 14:16:31","External Data","Will Transport Agency data being transferred to an external party, cloud provider or mobile app for storage or processing (e.g. Google/Azure/Amazon/Catalyst)","If Transport Agency data is being transferred outside of the Corporate, ITS or Unisys networks; the answer is likely 'Yes'.","action",5,10,0
61,"NZTA\SDLT\Model\Question","2020-03-02 11:30:38","2019-03-14 14:20:05","Existing Provider","Has the Transport Agency used this service provider in this way before?","<p>When engaging new providers of SaaS or Cloud Services, all NZ Government Agencies are required to complete a Government Digital Communication Office Cloud Risk Assessment (GCDO/GCIO). Once complete and assessed, a copy of this assessment will be provided to the NZ Department of Internal Affairs (DIA) and made available to all NZ Government Agencies. Each external organisation should only have to ever complete this process once.</p><p>This assessment is designed to solicit information about potential risks to NZ Government Data and Agencies. If the vendor in question has not completed an assessment before, a new GCIO105 task will be created on completion of this questionnaire.</p>","action",5,13,0
62,"NZTA\SDLT\Model\Question","2019-06-10 11:34:17","2019-03-14 14:21:30"," Transferring Data","How is Transport Agency data being transferred to/from the product?","Please document the technologies being used to transfer data (e.g. Web Forms, FTP, SCP, Email etc)","input",5,11,0
63,"NZTA\SDLT\Model\Question","2020-03-02 12:04:31","2019-03-14 14:22:38","Data Storage Location","Where will Transport Agency data be physically located/stored?","<p>What countries and cities will Transport Agency data be held in by this product?</p><p>The Transport Agency must adhere to guidance from the Department of Internal Affairs (DIA). This determines what countries are acceptable for storing information the Transport Agency is accountable. In general, the Transport Agency is allowed to story information in:</p><ul><li>New Zealand</li>
<li>Australia</li>
<li>United States of America</li>
<li>Canada</li>
<li>Germany</li>
<li>Netherlands</li>
<li>United Kingdom</li>
</ul><p>Other countries/jurisdictions can be considered, but these will need to go through a separate data risk assessment to ensure the target jurisdiction's Information and Privacy laws are compatible with New Zealand's.</p>","input",5,12,0
64,"NZTA\SDLT\Model\Question","2020-03-02 11:39:48","2019-03-14 14:24:32","Public Facing Interfaces","Does this product expose new public facing interfaces?","<p>Will this solution be exposing new web-facing services? Including APIs through an existing API management platform (e.g. Mulesoft, CDI, CloudFlare, RedShield). The Transport Agency has an obligation to ensure that all information that it is accountable for is kept safe, especially when that information is being provided to external parties through web-facing services. </p><p>At the end of this questionnaire, a Penetration Test task will be completed. You'll be asked to either conduct a penetration test on the services or provide a recently completed penetration test report and summary of remediation work that has been undertaken. More information about this is explained in the Penetration Test task.</p><p>&nbsp;</p>","action",5,14,0
65,"NZTA\SDLT\Model\Question","2020-03-02 12:00:29","2019-03-14 14:26:10","Credit Card Payments","Will this product accept Transport Agency customer credit cards?","<p>Will this product accept credit card payments from the NZ Public on behalf of the Transport Agency?</p><p>The Transport Agency is required by VISA and our Bank to maintain compliance with the Payment Card Industry - Data Security Standards (PCI-DSS). Vendors that accept credit cards on behalf of the Transport Agency will need to provide evidence of PCI-DSS compliance that can be forwarded to our bank. If this product is going to accept credit card payments, at the end of this questionnaire a PCI-DSS assessment task will be created. This task will ask you to go through each of the PCI-DSS requirements and ensure they're being met within this solution. </p>","action",5,17,0
66,"NZTA\SDLT\Model\Question","2020-03-02 12:02:45","2019-03-14 14:27:34","Credit Card Connection","Will this product directly talk to the Transport Agency Payment Micro-site or Common Payment Services (CPS) system?","<p>To use this product, will there need to be some integration with Transport Agency systems that handle payments? This includes the Payment Micro-site and Common Payment Services (CPS).</p><p>The Transport Agency is required by VISA and our Bank to maintain compliance with the Payment Card Industry - Data Security Standards (PCI-DSS). These products sit within the Transport Agencies PCI-DSS environment. Any changes to this environment will require validation against the current PCI-DSS requirements to ensure no compliance obligations are being compromised. At the end of this questionnaire a PCI-DSS assessment task will be created. This task will ask you to go through each of the PCI-DSS requirements and ensure they're being met within this solution.</p>","action",5,18,0
67,"NZTA\SDLT\Model\Question","2020-03-02 11:34:08","2019-03-14 14:28:56","Personal Information","Does this product store personal information (PI)?","<p>Personal Information is defined as any information about an identifiable individual (i.e. a living, natural person; not companies/charities/trusts etc). The information doesn’t need to identify a person by their name to be personal information, and it also doesn’t need to be private or sensitive. As long as there’s a reasonable chance that someone could be identified from the information - even if it’s only one person that makes the link between the information and the individual, and even if it’s only by linking it with other information - then it’s personal information. This includes information about other staff members and our customers.</p><p>All systems created, managed and used by the Agency that contain or use any form of Personal Information must go through a Privacy Threshold Assessment process. At the end of this questionnaire, a Privacy Threshold Assessment task will be completed. When completed, this task will be submitted to the Privacy Officers for review and approval.</p><p>For more information, and specific examples, please see the Privacy Page on OnRamp: https://onramp.example.co.nz/what-we-do/legal-services/privacy/</p>","action",5,9,0
68,"NZTA\SDLT\Model\Question","2019-06-10 11:34:17","2019-03-14 14:32:29","Firewall Changes","Will you require firewall changes to be made to use this product?","If this product requires connections to/from Transport Agency systems that are not Web (e.g. Chrome/Edge/Firefox) the answer is probably Yes","action",5,20,0
69,"NZTA\SDLT\Model\Question","2019-05-17 13:33:48","2019-03-14 14:35:08","Firewall Information","Please describe what firewall changes you might need","Please name the systems that need to talk and how. This doesn't have to be technically accurate, but an indication of what systems need to talk and how would be a good start for Infrastructure.","input",0,20,0
70,"NZTA\SDLT\Model\Question","2019-05-13 08:50:23","2019-03-14 14:36:22","Users","Please list the names and roles of Transport Agency staff who will use this product","Users are the people who will be using the product. Please document the names, roles and permissions each user will get. If there are named groups within the product, please document the group that each user will belong to.","input",0,21,0
71,"NZTA\SDLT\Model\Question","2019-05-13 08:24:40","2019-03-14 14:38:21","Multi-Factor Authentication","Please describe how Multi-factor authentication is used by this product","Include the technologies and products being used (e.g. SMS, Google Authenticator)","input",0,21,0
74,"NZTA\SDLT\Model\Question","2019-07-15 11:00:37","2019-03-27 12:13:46","Description of Information","Describe what Transport Agency information will be received, transmitted and stored by this product","Transport Agency Information is any and all data or information that the Transport Agency receives, stores or transmits.

Please ensure as much information as possible about information stored, transmitted or received by this product is documented.","input",1,16,0
75,"NZTA\SDLT\Model\Question","2019-03-28 12:57:38","2019-03-28 12:06:13","Q1 Your Age","Your Age","","input",0,0,1
76,"NZTA\SDLT\Model\Question","2019-05-03 09:53:10","2019-03-28 12:08:30","Describe the information being handled","Describe the information being classified","Please ensure you describe the type of information, fields etc appropriately. The information classification generated will be against the data that is being described here. If in doubt, add more information here.","input",0,2,4
77,"NZTA\SDLT\Model\Question","2019-05-03 09:55:12","2019-03-28 12:09:12","Release could endanger a person?","Release could endanger a person?","Could the misuse of this information potentially endanger the safety or life of a person? This would be true if this product deals in any way with fire, life and safety systems or infrastructure (e.g. tunnels, traffic lights, intelligent speed signs).","action",0,3,4
78,"NZTA\SDLT\Model\Question","2020-04-14 16:20:38","2019-03-28 12:18:41","Personal Information","Does this product store, transmit or receive Personal Information (PI)?","<p>Personal Information is defined as any information about an identifiable individual (i.e. a living, natural person; not companies/charities/trusts etc). The information doesn’t need to identify a person by their name to be personal information, and it also doesn’t need to be private or sensitive. As long as there’s a reasonable chance that someone could be identified from the information - even if it’s only one person that makes the link between the information and the individual, and even if it’s only by linking it with other information - then it’s personal information. This includes information about other staff members and our customers.</p><p>All systems created, managed and used by the Agency that contain or use any form of Personal Information must go through a Privacy Threshold Assessment process. At the end of this questionnaire, a Privacy Threshold Assessment task will be completed. When completed, this task will be submitted to the Privacy Officers for review and approval.</p><p>For more information, and specific examples, please see the Privacy Page on OnRamp: https://onramp.example.co.nz/what-we-do/legal-services/privacy/</p>","action",0,4,4
79,"NZTA\SDLT\Model\Question","2019-04-16 09:08:38","2019-03-28 12:21:41","Could be emailed to Media?","Could be emailed to Media?","","action",0,5,0
80,"NZTA\SDLT\Model\Question","2019-04-16 09:12:18","2019-03-28 12:25:11","Finished","Default Classification","Your classification has been determined to be the Government default of Unclassified.","action",0,7,4
81,"NZTA\SDLT\Model\Question","2019-03-28 12:58:42","2019-03-28 12:58:42","Q2 Your Gender","Your Gender","","input",0,0,1
82,"NZTA\SDLT\Model\Question","2019-03-28 13:00:26","2019-03-28 12:59:51","Q3 Your Role","Your Role","","input",0,0,1
83,"NZTA\SDLT\Model\Question","2019-03-28 13:21:09","2019-03-28 13:10:35","Q1 What vehicle do you drive","What vehicle do you drive","","input",0,0,2
84,"NZTA\SDLT\Model\Question","2019-03-28 13:11:43","2019-03-28 13:11:43","Q2 Vehicle colour","Vehicle colour","","input",0,0,2
85,"NZTA\SDLT\Model\Question","2019-03-28 13:31:14","2019-03-28 13:12:34","Q3 Age of vehicle"," Age of vehicle","","input",0,0,2
86,"NZTA\SDLT\Model\Question","2019-03-28 13:14:04","2019-03-28 13:14:04","Q1 Enter Name","Enter Name","","input",0,0,3
87,"NZTA\SDLT\Model\Question","2019-03-28 13:15:51","2019-03-28 13:15:51","Q2 Enter Address","Enter Address","","input",0,0,3
88,"NZTA\SDLT\Model\Question","2019-03-28 13:16:42","2019-03-28 13:16:42","Q3 Enter Phone number","Enter Phone number","","input",0,0,3
90,"NZTA\SDLT\Model\Question","2020-06-12 14:40:31","2019-04-08 10:31:11","Vendor Information","The GCIO105 Vendor questions to be created and managed through the SDLT","The SDLT will create a new GCIO105 Vendor task. You will be emailed a link that you can forward to the vendor. Using this link, the vendor will be able to fill in all of the answers online through the SDLT without needing to use spreadsheets etc.","action",0,11,0
91,"NZTA\SDLT\Model\Question","2020-06-12 14:40:31","2019-04-08 10:31:58","Agency Information","Agency questions will be created and managed through the SDLT","The SDLT will create a new GCIO105 Agency task. You will be able to answer and submit the Agency responses to the GCIO105 through the SDLT without needing to use spreadsheets etc.","action",0,10,0
93,"NZTA\SDLT\Model\Question","2019-04-30 12:25:23","2019-04-08 10:34:07","Confirmation","You can not edit the answers after submit it, are you sure?","","action",0,103,6
94,"NZTA\SDLT\Model\Question","2019-05-03 11:03:47","2019-04-08 10:34:53","Confirmation","Confirm?","","action",0,0,0
95,"NZTA\SDLT\Model\Question","2019-04-29 14:47:52","2019-04-10 13:23:50","Penetration Test Report","Please provide the URL of your penetration test report","Please ensure it's stored in a Transport Agency document management system and is accessible to the Cyber Security team.","input",0,5,8
